[2024-12-29 15:39:07,541: INFO: main: Welcome to our custom log]
[2024-12-29 22:02:53,769: INFO: common: yaml.file: config\config.yaml loaded successfully]
[2024-12-29 22:02:53,786: INFO: common: yaml.file: params.yaml loaded successfully]
[2024-12-29 22:06:09,100: INFO: common: yaml.file: config\config.yaml loaded successfully]
[2024-12-29 22:06:09,103: INFO: common: yaml.file: params.yaml loaded successfully]
[2024-12-29 22:06:11,697: INFO: common: yaml.file: config\config.yaml loaded successfully]
[2024-12-29 22:06:11,699: INFO: common: yaml.file: params.yaml loaded successfully]
[2024-12-29 22:07:08,823: INFO: common: yaml.file: config\config.yaml loaded successfully]
[2024-12-29 22:07:08,825: INFO: common: yaml.file: params.yaml loaded successfully]
[2024-12-29 22:08:18,795: INFO: common: yaml.file: config\config.yaml loaded successfully]
[2024-12-29 22:08:18,797: INFO: common: yaml.file: params.yaml loaded successfully]
[2024-12-29 22:09:29,055: INFO: common: yaml.file: config\config.yaml loaded successfully]
[2024-12-29 22:09:29,058: INFO: common: yaml.file: params.yaml loaded successfully]
[2024-12-29 22:09:29,065: INFO: common: created directory at : artifacts]
[2024-12-29 22:09:29,067: INFO: common: created directory at : artifacts/data_ingestion]
[2024-12-29 22:09:29,069: INFO: 846616921: Downloading data from https://drive.google.com/file/d/1S9kR7DfAaz_HBGR3mgeuWZPFgnXEzkcs/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-12-29 22:10:55,344: INFO: common: yaml.file: config\config.yaml loaded successfully]
[2024-12-29 22:10:55,346: INFO: common: yaml.file: params.yaml loaded successfully]
[2024-12-29 22:10:55,347: INFO: common: created directory at : artifacts]
[2024-12-29 22:10:55,348: INFO: common: created directory at : artifacts/data_ingestion]
[2024-12-29 22:10:55,349: INFO: 454630738: Downloading data from https://drive.google.com/file/d/1S9kR7DfAaz_HBGR3mgeuWZPFgnXEzkcs/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-12-29 22:11:19,437: INFO: 454630738: Downloaded data from https://drive.google.com/file/d/1S9kR7DfAaz_HBGR3mgeuWZPFgnXEzkcs/view?usp=sharing into the file artifacts/data_ingestion/data.zip]
[2024-12-29 22:33:07,084: INFO: main: >>>>>> stage Data Ingestion Pipeline Started <<<<<<]
[2024-12-29 22:33:07,085: INFO: common: yaml.file: config\config.yaml loaded successfully]
[2024-12-29 22:33:07,086: INFO: common: yaml.file: params.yaml loaded successfully]
[2024-12-29 22:33:07,087: INFO: common: created directory at : artifacts]
[2024-12-29 22:33:07,088: INFO: common: created directory at : artifacts/data_ingestion]
[2024-12-29 22:33:07,088: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1S9kR7DfAaz_HBGR3mgeuWZPFgnXEzkcs/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-12-29 22:33:30,721: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1S9kR7DfAaz_HBGR3mgeuWZPFgnXEzkcs/view?usp=sharing into the file artifacts/data_ingestion/data.zip]
[2024-12-29 22:33:56,995: INFO: main: >>>>>> stage Data Ingestion Pipeline completed <<<<<< 

X==========X]
